[2025-11-05 15:02:39,616] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:39,616] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_10.jpg
[2025-11-05 15:02:40,775] 338 docling.document_converter - INFO - Finished converting document photo_10.jpg in 1.16 sec.
[2025-11-05 15:02:40,777] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:40,781] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:40,781] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_11.jpg
[2025-11-05 15:02:42,084] 338 docling.document_converter - INFO - Finished converting document photo_11.jpg in 1.31 sec.
[2025-11-05 15:02:42,087] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:42,093] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:42,093] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_12.jpg
[2025-11-05 15:02:43,260] 338 docling.document_converter - INFO - Finished converting document photo_12.jpg in 1.17 sec.
[2025-11-05 15:02:43,283] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:02:43,294] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:43,294] 359 docling.document_converter - INFO - Initializing pipeline for SimplePipeline with options hash 995a146ad601044538e6a923bea22f4e
[2025-11-05 15:02:43,294] 65 docling.pipeline.base_pipeline - INFO - Processing document ai_model_specs_v1.docx
[2025-11-05 15:02:43,319] 338 docling.document_converter - INFO - Finished converting document ai_model_specs_v1.docx in 0.04 sec.
[2025-11-05 15:02:43,321] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:43,333] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:43,333] 65 docling.pipeline.base_pipeline - INFO - Processing document api_structure_v2_diagram.png
[2025-11-05 15:02:45,003] 338 docling.document_converter - INFO - Finished converting document api_structure_v2_diagram.png in 1.68 sec.
[2025-11-05 15:02:45,005] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:02:45,018] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:45,018] 65 docling.pipeline.base_pipeline - INFO - Processing document aqua_whitepaper_tech_draft.docx
[2025-11-05 15:02:45,043] 338 docling.document_converter - INFO - Finished converting document aqua_whitepaper_tech_draft.docx in 0.04 sec.
[2025-11-05 15:02:45,045] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:45,133] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:45,133] 65 docling.pipeline.base_pipeline - INFO - Processing document aquasentinel_gantt_chart.png
[2025-11-05 15:02:52,727] 338 docling.document_converter - INFO - Finished converting document aquasentinel_gantt_chart.png in 7.68 sec.
[2025-11-05 15:02:52,731] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.PDF: 'pdf'>]
[2025-11-05 15:02:52,732] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:52,732] 65 docling.pipeline.base_pipeline - INFO - Processing document aquasentinel_pilot_results_briefing_060223.pdf
[2025-11-05 15:03:02,748] 338 docling.document_converter - INFO - Finished converting document aquasentinel_pilot_results_briefing_060223.pdf in 10.02 sec.
[2025-11-05 15:03:02,755] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:03:02,771] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:02,771] 65 docling.pipeline.base_pipeline - INFO - Processing document dashboard_wireframe_mockup_0522.png
[2025-11-05 15:03:04,973] 338 docling.document_converter - INFO - Finished converting document dashboard_wireframe_mockup_0522.png in 2.22 sec.
[2025-11-05 15:03:04,978] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 15:03:05,001] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:05,002] 65 docling.pipeline.base_pipeline - INFO - Processing document environmental_impact_section_draft.docx
[2025-11-05 15:03:05,078] 338 docling.document_converter - INFO - Finished converting document environmental_impact_section_draft.docx in 0.10 sec.
[2025-11-05 15:03:05,082] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:03:05,088] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:03:05,089] 65 docling.pipeline.base_pipeline - INFO - Processing document field_installation_photo_urban.jpg
[2025-11-05 15:03:06,525] 338 docling.document_converter - INFO - Finished converting document field_installation_photo_urban.jpg in 1.44 sec.
